역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
3107,검단호수공원,S2801,인천지하철 1호선,Geomdan Lake Park,黔丹湖水公園,일반역,-,-,37.6025,126.688056,인천교통공사,인천광역시 서구 불로동 608-16,032-451-3157,2025-06-30
3208,검바위,S2802,인천지하철 2호선,Geombawi,黔石,일반역,-,-,37.561091,126.677529,인천교통공사,인천광역시 서구 서곶로 492 (검암동),032-451-4308,2022-04-30
A07,검암,I28A1,인천국제공항선,Geomam,黔岩,환승역,S28I2,인천 도시철도 2호선,37.56915547,126.6735357,공항철도주식회사,인천광역시 서구 검바위로 26,1599-7788,2023-05-31
3207,검암,S2802,인천지하철 2호선,Geomam,黔岩,환승역,S2802+I28A1,공항철도,37.568611,126.675682,인천교통공사,인천광역시 서구 검바위로 4 (검암동),032-451-4307,2022-04-30
1504,경기광주역,I41K5,경강선,GyeonggiGwangju,京畿廣州,일반역,,,37.398974,127.253201,한국철도공사,경기도 광주시 광주역로 10 경기광주역사,1588-7788,2025-04-08
U120,경기도청북부청사,L41U1,의정부,Northern Gyeonggi-do Government,京畿道北部办公楼,일반역,,,37.75073213,127.0714795,의정부경량전철㈜,경기도 의정부시 장곡로 615,031-820-1000,2023-09-04
0231,경대병원,S2702,대구 도시철도 2호선,Kyungpook Nat'l Univ. Hosp.,慶大病院,일반역,,,35.863102,128.60316,대구교통공사,중구 달구벌대로 지하2190 (삼덕동),053-427-0523,2025-03-31
1451,경마공원역,I4103,안산과천선,Seoul Racecourse park,競 馬公 園,일반역,,,37.443987,127.007899,한국철도공사,경기도 과천시 경마공원대로 105,1588-7788,2025-04-08
0327,경복궁(정부서울청사),I1103,3호선,Gyeongbokgung (Government Complex-Seoul),景福宮(政府中央廳舍),일반역,,,37.575844,126.973576,서울교통공사,서울특별시 종로구 사직로 지하130(적선동),02-6110-3271,2024-12-31
7008,경산역,I27K7,대경선,Gyeongsan,慶 山,일반역,,,35.8192,128.7276,한국철도공사,경북 경산시 중앙로1,1588-7788,2025-04-08
0212,경성대·부경대,S2602,부산 도시철도 2호선,Kyungsung Univ.·Pukyong Nat’l Univ.,慶星大釜慶大,일반역,,,35.13757,129.10055,부산광역시 부산교통공사,부산광역시 남구 수영로 지하 324,051-678-6212,2022-11-30
3115,경인교대입구,S2801,인천지하철 1호선,Gyeongin Nat'l Univ of Education,京仁敎大入口,일반역,-,-,37.538272,126.722603,인천교통공사,인천광역시 계양구 계양대로 162,032-553-3394,2022-04-30
U113,경전철의정부,L41U1,의정부,LRT Uijeongbu,轻轨议政府,일반역,,,37.73729974,127.043321,의정부경량전철㈜,경기도 의정부시 신흥로 237,031-820-1000,2023-09-04
0351,경찰병원,I1103,3호선,National Police Hospital,警察病院,일반역,,,37.495754,127.124198,서울교통공사,서울특별시 송파구 중대로 지하149(가락동),02-6110-3511,2024-12-31
0220,계명대,S2702,대구 도시철도 2호선,Keimyung Univ.,啓明大,일반역,,,35.85146491,128.491969,대구교통공사,달서구 달구벌대로 지하1140 (신당동),053-588-0990,2025-03-31
3114,계산,S2801,인천지하철 1호선,Gyesan,桂山,일반역,-,-,37.543243,126.728436,인천교통공사,인천광역시 계양구 경명대로 1089,032-546-3151,2022-04-30
A06,계양,I28A1,인천국제공항선,Gyeyang,桂陽,환승역,S28I1,인천 도시철도 1호선,37.571769,126.736319,공항철도주식회사,인천광역시 계양구 다남로 24,1599-7788,2023-05-31
3110,계양,S2801,인천지하철 1호선,Gyeyang,桂陽,환승역,S2801+I28A1,공항철도,37.571539,126.736319,인천교통공사,인천광역시 계양구 다남로 24,032-710-9105,2022-04-30
0552,고덕,S1105,5호선,Godeok,高德,일반역,,,37.555002,127.154214,서울교통공사,서울특별시 강동구 고덕로 지하253(고덕동),02-6311-5521,2024-12-31
0640,고려대(종암),S1106,6호선,Korea Univ. (Jongam),高麗大(鍾岩),일반역,,,37.59034,127.03626,서울교통공사,서울특별시 성북구 종암로 지하1(종암동),02-6311-6401,2024-12-31
0239,고산,S2702,대구 도시철도 2호선,Gosan,孤山,일반역,,,35.842955,128.69335,대구교통공사,수성구 달구벌대로 지하3080 (시지동),053-791-0858,2025-03-31
1873,고색역,I28K1,수인선,Gosaek,古索,일반역,,,37.249829,126.9805899,한국철도공사,경기도 수원시 권선구 매송고색로 지하690(고색동),1588-7788,2025-04-08
0339,고속터미널,I1103,3호선,Express Bus Terminal,高速터미널,환승역,S1107+S11S1,수도권  도시철도 7호선+수도권  도시철도 9호선,37.504953,127.004916,서울교통공사,서울특별시 서초구 신반포로 지하188(반포동),02-6110-3391,2024-12-31
0734,고속터미널,S1107,7호선,Express Bus Terminal,高速터미널,환승역,I1103+S11S1,수도권  광역철도 3호선+수도권 도시철도 9호선,37.503387,127.005055,서울교통공사,서울특별시 서초구 신반포로 지하188(반포동),02-6311-7341,2024-12-31
4123,고속터미널,S1109,서울 도시철도 9호선,Express Bus Terminal,高速巴士客运站​,환승역,"I1103
S1107","서울 도시철도 3호선
서울 도시철도 7호선",37.505933,127.004044,서울특별시 서울시메트로9호선㈜,서울특별시 서초구 신반포로 지하188,02-2656-0923,2024-08-31
1757,고잔역,I28K1,수인선,Gojan,古棧,환승역,I4103,안산과천선,37.316821,126.823094,한국철도공사,경기도 안산시 단원구 중앙대로 784 ,1588-7788,2025-04-08
1757,고잔역,I4103,안산과천선,Gojan,古 棧,환승역,I28K1,수인선,37.316821,126.823094,한국철도공사,경기도 안산시 단원구 중앙대로 784,1588-7788,2025-04-08
Y121,고진,L41E1,에버라인,Gojin,古陳,일반역,L41E1,수도권  경량도시철도 에버라인,37.24463834,127.2141836,경기도 용인경전철,경기도 용인시 처인구 경안천로 141,031-329-3577,2025-03-25
0413,고촌,L2604,부산 경량도시철도 4호선,Gochon,古村,일반역,,,35.23603,129.1605,부산광역시 부산교통공사,부산광역시 기장군 철마면 반송로 991,051-678-6413,2022-11-30
G108,고촌역,L41G1,김포도시철도,Gochon ,高村,일반역,,,37.60125,126.770361,김포골드라인에스알에스㈜,경기도 김포시 고촌읍 김포대로 지하 350,031-8048-1780,2024.12.18
1272,곡산역,I4108,경의중앙선,Goksan,谷 山,환승역,I41WS,서해선,37.645729,126.801877,한국철도공사,경기도 고양시 일산동구 경의로 160(백석동),1588-7788,2025-04-08
1272,곡산역,I41WS,서해선,Goksan,谷山,환승역,I4108,경의선,37.645729,126.801877,한국철도공사,경기도 고양시 일산동구 경의로 160(백석동),1544-7788,2024-12-31
U122,곤제,L41U1,의정부,Gonjae,昆弟,일반역,,,37.75054343,127.0838651,의정부경량전철㈜,경기도 의정부시 천보로 173,031-820-1000,2023-09-04
1506,곤지암역,I41K5,경강선,Gonjiam,昆地岩,일반역,,,37.350525,127.346186,한국철도공사,경기도 광주시 곤지암천로 333,1588-7788,2025-04-08
0322,공단,S2703,대구 도시철도 3호선,Gongdan,工團,일반역,,,35.892,128.5536,대구교통공사, 북구 팔달로 28(비산동),053-640-7431,2025-03-31
0529,공덕,S1105,5호선,Gongdeok,孔德,환승역,S1106,수도권  도시철도 6호선,37.544005,126.951058,서울교통공사,서울특별시 마포구 마포대로 지하100(공덕동),02-6311-5291,2024-12-31
0626,공덕,S1106,6호선,Gongdeok,孔德,환승역,S1105,수도권  도시철도 5호선,37.543592,126.951664,서울교통공사,서울특별시 마포구 백범로 지하200(공덕동),02-6311-5291,2024-12-31
A02,공덕,I28A1,인천국제공항선,Gongdeok,孔德,환승역,S1105+S1106+I41K4,서울 도시철도 5호선+서울 도시철도 6호선+경의중앙선,37.5427105,126.9516296,공항철도주식회사,서울특별시 마포구 마포대로 92,1599-7788,2023-05-31
1262,공덕역,I4108,경의중앙선,Gongdeok,孔德,환승역,"S1105, S1106, I28A1","수도권 도시철도 5호선, 수도권 도시철도 6호선, 인천국제공항선",37.542711,126.952134,한국철도공사,서울시 마포구 공덕동 마포대로 92,1588-7788,2025-04-08
0716,공릉(서울과학기술대),S1107,7호선,Gongneung (Seoul National Univ. of Science & Technology),孔陵(서울産業大入口),일반역,,,37.625642,127.072969,서울교통공사,서울특별시 노원구 동일로 지하1074(공릉동),02-6311-7161,2024-12-31
115,공항,S2901,광주도시철도 1호선,Airport,空港,일반역,,,35.144179,126.81153,광주교통공사,광주광역시 광산구 상무대로 지하 416-99(신촌동),062-604-8550,2022-09-02
0004,공항,L48B1,부산김해경전철,Gimhae International Airport,控抗,일반역,,,35.171906,128.948586,부산-김해경전철㈜,부산광역시 강서구 공항진입로 165,055-310-9604,2022-04-27
4103,공항시장,S1109,서울 도시철도 9호선,Airport Market,空港市場,일반역,,,37.563726,126.810678,서울특별시 서울시메트로9호선㈜,서울특별시 강서구 방화동로 지하30,02-2656-0903,2024-02-29
A09,공항화물청사,I28A1,인천국제공항선,Incheon Int'l Airport Cargo Terminal,空港貨物廳舍,일반역,,,37.45902611,126.4774333,공항철도주식회사,인천광역시 중구 공항동로135번길 86,1599-7788,2023-05-31
1453,과천역,I4103,안산과천선,Gwacheon,果 川,일반역,,,37.432805,126.996404,한국철도공사,경기도 과천시 별양로 지하 177,1588-7788,2025-04-08
1705,관악역,I4101,경부선,Gwanak,冠 岳,일반역,,,37.419578,126.908476,한국철도공사,경기도 안양시 만안구 경수대로 1273번길 46,1588-7788,2025-04-08
S411,관악산,L11SL,수도권 경량도시철도 신림선,Gwanaksan,冠岳山,일반역,,,37.46916896,126.944954837,남서울경전철 주식회사,서울특별시 관악구 신림로 23 (신림동),02-890-2227~8,2025-09-23
D019,광교(경기대),I11D1,신분당선,Gwanggyo (Kyonggi Univ.),光敎(京畿大),일반역,,,37.30173474,127.0448561,경기도 신분당선,경기도 수원시 영통구 대학로 55 신분당선 광교역,031)8018-7830,2025-09-30
D018,광교중앙(아주대),I11D1,신분당선,Gwanggyo Jungang,光敎中央(亞洲大),일반역,,,37.2884537,127.051609,경기도 신분당선,경기도 수원시 영통구 도청로 지하45,031)8018-7820,2025-09-30
0546,광나루(장신대),S1105,5호선,Gwangnaru (Presbyterian College & Theological Seminary),광나루(長神大),일반역,,,37.545301,127.103478,서울교통공사,서울특별시 광진구 아차산로 지하571(광장동),02-6311-5461,2024-12-31
1750,광명역,I4101,경부선,Gwangmyeong,光 明,일반역,,,37.415995,126.884523,한국철도공사,경기도 광명시 광명역로 21,1588-7788,2025-04-08
0748,광명사거리,S1107,7호선,Gwangmyeongsageori,光明사거리,일반역,,,37.47927,126.854854,서울교통공사,경기도 광명시 오리로 지하980(광명동),02-6311-7481,2024-12-31
0209,광안,S2602,부산 도시철도 2호선,Gwangan,廣安,일반역,,,35.15792,129.113197,부산광역시 부산교통공사,부산광역시 수영구 수영로 지하 576,051-678-6209,2022-11-30
1019,광운대역,I4102,경원선,Kwangwoon Univ.,光云大,환승역,I41K2,경춘선,37.62357,127.06181,한국철도공사,서울시 노원구 석계로 98-2(광운대역),1588-7788,2025-04-08
1019,광운대역,I4108,경의중앙선,Kwangwoon Univ.,光云大,환승역,I4102,경원선,37.6239,127.062,한국철도공사,서울시 노원구 석계로 98-2(광운대역),1588-7788,2025-04-08
1019,광운대역,I4108,경춘선,Kwangwoon Univ.,光云大,환승역,I4102,경원선,37.623635,127.061975,한국철도공사,서울시 노원구 석계로 98-2(광운대역),1588-7788,2025-12-31 00:00:00
117,광주송정역,S2901,광주도시철도 1호선,GwangjuSongjeong Station,光州松汀站,일반역,,,35.137529,126.791488,광주교통공사,광주광역시 광산구 상무대로 지하 201-99(송정동),062-604-8570,2022-09-02
0533,광화문(세종문화회관),S1105,5호선,Gwanghwamun(Sejong Center for the Performing Arts),光化門(世宗文化會館),일반역,,,37.571645,126.976568,서울교통공사,서울특별시 종로구 세종대로 지하172(세종로),02-6311-5331,2024-12-31
0624,광흥창(서강),S1106,6호선,Gwangheungchang (Seogang),廣興倉(西江),일반역,,,37.547464,126.931971,서울교통공사,서울특별시 마포구 독막로 지하165(창전동),02-6311-6241,2024-12-31
0002,괘법르네시떼,L48B1,부산김해경전철,Gwaebeop Renecite,掛法,일반역,,,35.1632616,128.9776836,부산-김해경전철㈜,부산광역시 사상구 광장로 9,055-310-9602,2022-04-27
0105,괴정,S2601,부산 도시철도 1호선,Goejeong,槐亭,일반역,,,35.1,128.9925,부산광역시 부산교통공사,부산광역시 사하구 낙동대로 지하 221,051-678-6105,2022-11-30
0124,교대,S2601,부산 도시철도 1호선,Busan Nat'l Univ. of Edu,釜山敎育大學校,환승역,S2601+I26K6,부산 도시철도 1호선+동해선,35.19583,129.08,부산광역시 부산교통공사,부산광역시 연제구 중앙대로 지하 1217,051-678-6124,2022-11-30
0128,교대,S2701,대구 도시철도 1호선,National University of Education,敎大,일반역,,,35.8510953,128.590643,대구교통공사,남구 중앙대로 지하194 (대명동),053-473-7702,2025-03-31
8004,교대역,I26K6,동해선,Busan Nat’l Univ. of Edu,敎 大,환승역,S2601,부산 도시철도 1호선,35.1938,129.07958,한국철도공사,부산시 연제구 중앙대로 1196,1588-7788,2025-04-08
0223,교대(법원·검찰청),S1102,2호선,Seoul Nat'l Univ. of Education (Court & Public Prosecutor's Office),敎大(法院․檢察廳),환승역,I1103,수도권  광역철도 3호선,37.493957,127.014431,서울교통공사,서울특별시 서초구 서초대로 지하294(서초동),02-6110-2231,2024-12-31
0340,교대(법원·검찰청),I1103,3호선,Seoul Nat'l Univ. of Education (Court & Public Prosecutor's Office),敎大(法院․檢察廳),환승역,S1102,수도권  도시철도 2호선,37.49306,127.013796,서울교통공사,서울특별시 서초구 서초대로 지하294(서초동),02-6110-3401,2024-12-31
0231,구남,S2602,부산 도시철도 2호선,Gunam,龜南,일반역,,,35.19681,128.99492,부산광역시 부산교통공사,부산광역시 북구 백양대로 지하 1026,051-678-6231,2022-11-30
G101,구래역,L41G1,김포도시철도,Gurae ,九来,일반역,,,37.645354,126.6285,김포골드라인에스알에스㈜,경기도 김포시 김포한강7로 87,031-8048-1710,2024.12.18
1701,구로역,I4101,경부선,Guro,九 老,일반역,,,37.503178,126.882037,한국철도공사,서울시 구로구 구로중앙로 174,1588-7788,2025-04-08
0232,구로디지털단지,S1102,2호선,Guro Digital Complex,九老디지털團地,일반역,,,37.4852931,126.901456,서울교통공사,서울특별시 구로구 도림천로 477(구로동),02-6110-2321,2024-12-31
1026,구룡역,I4105,분당선,Guryong,九 龍,일반역,,,37.486985,127.059496,한국철도공사,서울시 강남구 개포동 175-3,1588-7788,2025-04-08
807,구리(구리전통시장),S1108,8호선,Guri(Guri Traditional Market),"九里
(九里传统市场)",일반역,,,37.60256,127.14073,구리도시공사,인창동 675-1 일원(구리역공원),031-579-4083~5,20240812
1205,구리역,I4108,경의중앙선,Guri,九 里,환승역,S1108,수도권 도시철도 8호선,37.60326,127.143373,한국철도공사,경기도 구리시 건원대로 34번길 32-29(인창동 244-2),1588-7788,2025-04-08
0232,구명,S2602,부산 도시철도 2호선,Gumyeong,龜明,일반역,,,35.20253,128.99931,부산광역시 부산교통공사,부산광역시 북구 백양대로 지하 1094,051-678-6232,2022-11-30
7001,구미역,I27K7,대경선,Gumi,龜 尾,일반역,,,36.128278,128.331071,한국철도공사,경북 구미시 구미중앙로 76,1588-7788,2025-04-08
4121,구반포,S1109,서울 도시철도 9호선,Gubanpo,舊盤浦,일반역,,,37.501389,126.987222,서울특별시 서울시메트로9호선㈜,서울특별시 서초구 신반포로 지하17,02-2656-0921,2024-02-29
0615,구산,S1106,6호선,Gusan,龜山,일반역,,,37.611196,126.9172519,서울교통공사,서울특별시 은평구 연서로 지하137-1(구산동),02-6311-6151,2024-12-31
0130,구서,S2601,부산 도시철도 1호선,Guseo,久瑞,일반역,,,35.247407,129.091327,부산광역시 부산교통공사,부산광역시 금정구 금정로 233번길 46,051-678-6130,2022-11-30
1863,구성역,I4105,분당선,Guseong,駒 城,환승역,,GTX-A,37.299013,127.105664,한국철도공사,경기도 용인시 기흥구 용구대로 2403,1588-7788,2025-04-08
0117,구암,S3001,대전 도시철도 1호선,Guam,九岩,일반역,,,36.356605,127.33083,대전교통공사,대전광역시 유성구 유성대로 703(구암동),042-539-3617,2022-05-09
0317,구암(과학대보건대입구),S2703,대구 도시철도 3호선,"Guam
(Taegu Science Univ.
·Daegu Health College)",鳩岩(科學大·保健大入口),일반역,,,35.92574223,128.5503415,대구교통공사, 북구 팔거천동로 1(구암동),053-640-7381,2025-03-31
0213,구의(광진구청),S1102,2호선,Guui (Gwangjin-gu Office),九宜(廣津區廳),일반역,,,37.537157,127.0862124,서울교통공사,서울특별시 광진구 아차산로 384-1(구의동),02-6110-2131,2024-12-31
1813,구일역,I1101,경인선,Guil,九 一,일반역,,,37.495973,126.869201,한국철도공사,서울시 구로구 구일로 133,1588-7788,2025-04-08
0320,구파발,I1103,3호선,Gupabal,舊把撥,일반역,,,37.636612,126.918827,서울교통공사,서울특별시 은평구 진관2로 지하15-25 (진관동),02-6110-3201,2024-12-31
0314,구포,S2603,부산 도시철도 3호선,Gupo,龜浦,일반역,,,35.20644,128.99631,부산광역시 부산교통공사,부산광역시 북구 낙동대로 1697,051-678-6314,2022-11-30
